,Unnamed: 0,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,date_stamp,last_change,listing_date,delisting_date,month,new_listing_count,listing_count,year_id,month_id
75,75,NK-cS4PYWrNuW9AF7XNCpL9oS,LegalEntity,ALMAZ-ANTEY,Almaz-Antey,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
76,76,NK-cS9xitXcWHjYumgnMjDMeB,LegalEntity,Alfa Bank,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
77,77,NK-cbdckShLMCD5SbjPm6itqc,Vessel,RUNG RA 2,,,,,9020534,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
78,78,NK-dMAzhvH7ooNytMQJf3ZNZL,Person,Sayyid Mohammed QADHAF AL-DAM,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
79,79,NK-dmm8pEVEVZ44Cs3di7tUmA,LegalEntity,Novikombank,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
80,80,NK-eajqVVmYqAXeL4rdDeAgLL,LegalEntity,RT - Russia Today UK,,,,,,"""""",,,EU Sanctions Map,20220705,,20220705,,2022-07,12,12,2022,1
81,81,NK-et5sakkRqBmB7LenAbfopR,LegalEntity,Bank Otkritie,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
82,82,NK-f7u9JR4f7piS8PngjTkUSa,LegalEntity,GAZPROMBANK,Gazprombank,,,,,"""""",,,EU Sanctions Map,20220705,,20220705,,2022-07,12,12,2022,1
83,83,NK-fPmFmeo9h8UrA8SMSNosDV,Vessel,CHON MA SAN,,,,,8660313,DPRK vessel M/V CHON MA SAN was involved in ship-to-ship transfer operations for oil in mid-November 2017.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
84,84,NK-fve5HErABF2Qr6JvaLqx9r,LegalEntity,Sputnik Arabic,,,,,,"""""",,,EU Sanctions Map,20230421,,20230421,,2023-04,2,2,2023,8
85,85,NK-fySa33F24mzZTKGqnxNUpL,LegalEntity,ROSTEC (RUSSIAN TECHNOLOGIES STATE CORPORATION),Rostec (Russian Technologies State Corporation),,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
86,86,NK-gPGdejS3K8qLPWvn48zpzn,LegalEntity,Kamaz,KAMAZ,,,,,"""""",,,EU Sanctions Map,20220520,,20220520,,2022-05,83,83,2022,2
87,87,NK-gToaaA9V47RYhVzXFMUG74,LegalEntity,Sberbank,,,,,,"""""",,,EU Sanctions Map,20220620,,20220620,,2022-06,15,15,2022,4
88,88,NK-gr5gcx549TgCYDJY9Pi832,Vessel,AN SAN 1,,,,,7303803,"DPRK tanker M/V AN SAN 1 was involved in ship-to-ship transfer operations, likely for oil, in late January 2018.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
89,89,NK-hErpKj3RZPtzUehfN7mgTa,LegalEntity,VTB Bank,VTB BANK,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
90,90,NK-iiMmyszrxdtTTZKGBN7qx2,Person,Ahmoudou AG ASRIW,,,,,,"Ahmoudou Ag Asriw is a senior commander of the Groupe autodéfense touareg Imghad et allies (GATIA) and has in this capacity been involved in leading drug convoys in northern Mali at least since October 2016, as well as ceasefire violations in Kidal region in July 2017 and April 2018.",,,EU Sanctions Map,20221109,,20221109,,2022-11,2,2,2022,5
